node_id,node_type,x,y,elevation_m,flood_depth_m
0,road,80.2170576,13.0109201,13.0,0.0
1,road,80.2210838,13.012363,12.0,0.0
2,road,80.2253737,13.0154974,12.0,0.0
3,road,80.2396609,13.0311611,13.0,0.0
4,road,80.1994135,13.0017577,16.0,0.0
5,road,80.2004611,13.0021572,17.0,0.0
6,road,80.2103689,13.0351031,14.0,0.0
7,road,80.2566429,13.0380739,11.0,0.0
8,road,80.2470503,13.0394741,12.0,3.0
9,road,80.2497725,13.0287832,14.0,0.0
10,road,80.2571665,13.0388392,9.0,0.0
11,road,80.2513739,13.0387852,12.0,0.0
12,road,80.254416,13.0350631,14.0,1.0
13,road,80.2556236,13.0366765,14.0,0.0
14,road,80.2117575,13.0318885,14.0,2.0
15,road,80.2286092,13.0091943,11.0,0.0
16,road,80.2513358,12.9877944,8.0,0.0
17,road,80.2473989,13.0067719,12.0,0.0
18,road,80.2589687,13.0082519,8.0,3.0
19,road,80.2646004,13.0397999,10.0,0.0
20,road,80.2643714,13.0375787,13.0,0.0
21,road,80.2680955,13.0366629,9.0,0.0
22,road,80.2615779,13.0190482,7.0,0.0
23,road,80.2626659,13.0202745,8.0,0.0
24,road,80.2659605,13.0262774,7.0,0.0
25,road,80.2598607,13.0453213,10.0,0.0
26,road,80.2616175,13.0482192,9.0,0.0
27,road,80.2541257,13.0271621,12.0,0.0
28,road,80.2565744,13.0270995,13.0,0.0
29,road,80.2633621,13.0266051,10.0,0.0
30,road,80.2640795,13.029395,6.0,0.0
31,road,80.2213325,12.9760873,6.0,0.0
32,road,80.2330666,13.0474161,14.0,4.0
33,road,80.2457626,13.0295538,12.0,0.0
34,road,80.2630135,13.0202472,8.0,0.0
35,road,80.2627808,13.0189281,7.0,0.0
36,road,80.2526097,12.9798977,5.0,0.0
37,road,80.2304109,13.0350262,12.0,0.0
38,road,80.2307615,13.030776,8.0,0.0
39,road,80.2313679,13.0260918,12.0,0.0
40,road,80.2371528,13.0341938,15.0,0.0
41,road,80.2499002,13.0498371,16.0,2.0
42,road,80.2570117,13.035403,11.0,0.0
43,road,80.2567953,13.038053,14.0,0.0
44,road,80.2572037,13.0386236,9.0,0.0
45,road,80.2577323,13.0387094,9.0,0.0
46,road,80.2575875,13.038823,9.0,0.0
47,road,80.2574399,13.0389562,9.0,0.0
48,road,80.2591169,13.0387272,11.0,0.0
49,road,80.25907,13.0384952,11.0,0.0
50,road,80.2103263,13.0085663,10.0,0.0
51,road,80.2110096,13.009488,12.0,0.0
52,road,80.2128717,13.0118396,10.0,0.0
53,road,80.2163283,13.0104614,13.0,0.0
55,road,80.2564883,13.0289174,12.0,0.0
56,road,80.2539777,13.0291172,13.0,0.0
57,road,80.2501638,13.0293291,13.0,0.0
58,road,80.2375933,13.0343838,16.0,0.0
59,road,80.238891,13.0323428,9.0,0.0
60,road,80.2274518,13.0304771,9.0,0.0
62,road,80.2574993,13.0067416,11.0,2.0
63,road,80.2577905,13.0067676,11.0,2.0
64,road,80.2592592,13.0079965,8.0,5.0
65,road,80.2594277,13.007651,8.0,5.0
66,road,80.2591237,13.0073191,10.0,4.0
67,road,80.2577917,13.0066539,12.0,2.0
68,road,80.2575913,13.0063909,12.0,5.0
69,road,80.258616,13.0075262,8.0,2.0
70,road,80.2597313,13.0073297,8.0,4.0
71,road,80.2574878,13.0065529,10.0,2.0
72,road,80.256884,13.0333235,12.0,0.0
73,road,80.2637034,13.0331407,11.0,0.0
74,road,80.2621661,13.0331354,12.0,0.0
75,road,80.2640871,13.0334434,13.0,0.0
76,road,80.2677514,13.0360459,9.0,0.0
77,road,80.2639776,13.037609,12.0,0.0
78,road,80.2535574,13.0351525,12.0,2.0
79,road,80.2240573,13.02859,8.0,0.0
80,road,80.2240458,13.0288916,8.0,0.0
81,road,80.2422806,13.0462446,12.0,1.0
82,road,80.2306639,12.9817389,8.0,0.0
84,road,80.2260049,13.0150158,11.0,0.0
85,road,80.2215754,13.0120189,12.0,0.0
86,road,80.2210646,13.0121486,12.0,0.0
87,road,80.2149099,13.0101861,15.0,0.0
88,road,80.2153943,13.0107529,16.0,0.0
89,road,80.2057657,13.0076834,12.0,0.0
90,road,80.2032283,13.0065816,14.0,0.0
91,road,80.2037145,13.007102,15.0,0.0
92,road,80.2038377,13.008284,15.0,0.0
93,road,80.2036735,13.0081079,15.0,0.0
94,road,80.2020426,13.0073801,18.0,0.0
95,road,80.2026131,13.0085874,12.0,0.0
96,road,80.204415,13.0077567,13.0,0.0
97,road,80.204086,13.0075262,15.0,0.0
98,road,80.1959435,13.0106444,18.0,0.0
100,road,80.2056033,13.0426093,14.0,3.0
101,road,80.2044229,13.0358933,16.0,0.0
102,road,80.2122341,13.0373172,15.0,0.0
103,road,80.2593081,12.9966031,11.0,0.0
104,road,80.2688769,13.0035774,9.0,0.0
105,road,80.2570846,13.0044401,10.0,0.0
106,road,80.2546692,12.9827366,6.0,0.0
107,road,80.2548769,12.9835678,5.0,0.0
108,road,80.2428614,13.0067102,12.0,0.0
109,road,80.268773,13.0475239,11.0,5.0
110,road,80.2402396,13.0067757,11.0,0.0
111,road,80.24615,13.0066442,11.0,0.0
112,road,80.2427147,13.0066507,14.0,0.0
113,road,80.2380038,13.0073267,12.0,0.0
114,road,80.2330185,13.0266853,11.0,0.0
116,road,80.2249482,13.0421956,13.0,0.0
117,road,80.2122478,13.0442799,14.0,3.0
118,road,80.2220416,13.0429082,13.0,0.0
119,road,80.2181081,13.0433032,13.0,0.0
120,road,80.2174054,13.0437362,12.0,0.0
121,road,80.2192443,13.0481766,13.0,2.0
122,road,80.2159372,13.0415669,13.0,0.0
123,road,80.2158956,13.0313339,14.0,3.0
124,road,80.2184778,13.0323045,11.0,0.0
125,road,80.2200554,13.0322087,10.0,0.0
126,road,80.2162822,13.0362179,14.0,0.0
127,road,80.2041198,13.0359372,14.0,0.0
129,road,80.1933757,13.0145011,14.0,0.0
130,road,80.1962382,13.0142579,15.0,0.0
131,road,80.1993888,13.0150197,17.0,0.0
132,road,80.2006619,12.9975496,15.0,0.0
133,road,80.2005058,13.0015169,17.0,0.0
135,road,80.2118701,13.049848,14.0,5.0
136,road,80.2098505,13.0338398,13.0,0.0
138,road,80.2598873,13.0455275,10.0,0.0
139,road,80.262394,13.0448596,13.0,0.0
140,road,80.2455965,13.0346817,13.0,1.0
141,road,80.2462047,13.0355603,10.0,1.0
142,road,80.2399589,13.03109,13.0,0.0
143,road,80.2330731,13.0264963,13.0,0.0
144,road,80.2014186,13.0049681,15.0,0.0
145,road,80.2031043,13.0074079,17.0,0.0
146,road,80.2383232,13.0440995,14.0,2.0
147,road,80.2401677,13.0451626,12.0,2.0
148,road,80.2403338,13.0450146,12.0,5.0
149,road,80.2039554,13.0127638,12.0,0.0
150,road,80.2043711,13.0136586,12.0,0.0
151,road,80.2040544,13.0127185,12.0,0.0
152,road,80.2097334,13.0322179,12.0,1.0
153,road,80.2118246,13.0321295,14.0,2.0
154,road,80.2099925,13.0347201,15.0,0.0
155,road,80.2118803,13.0348314,13.0,0.0
156,road,80.2355623,13.037729,12.0,0.0
158,road,80.2472648,13.0067702,12.0,0.0
159,road,80.24736,13.0053355,9.0,0.0
160,road,80.2514435,12.9878116,8.0,0.0
161,road,80.2617081,13.0187731,7.0,0.0
162,road,80.2629394,13.0189973,7.0,0.0
163,road,80.2629344,13.018911,7.0,0.0
164,road,80.2559662,12.9977453,8.0,0.0
165,road,80.2514186,12.9879188,8.0,0.0
166,road,80.2576927,12.984174,9.0,0.0
167,road,80.2594369,12.9839318,9.0,0.0
168,road,80.2472685,13.0066419,11.0,0.0
169,road,80.2561902,12.9993093,10.0,0.0
170,road,80.2124402,13.0373232,15.0,0.0
171,road,80.2124378,13.0419074,15.0,2.0
172,road,80.2124429,13.0443017,14.0,3.0
173,road,80.2526657,12.9827397,3.0,0.0
174,road,80.2596265,12.9872327,10.0,0.0
175,road,80.2188214,12.9704804,2.0,0.0
176,road,80.2188898,12.9705875,2.0,0.0
178,road,80.2214036,12.9759943,6.0,0.0
179,road,80.2342304,12.9812879,7.0,0.0
180,road,80.2342088,12.9811862,7.0,0.0
181,road,80.2432785,12.9813924,4.0,0.0
183,road,80.252609,12.9799864,5.0,0.0
184,road,80.2232552,13.0114027,13.0,0.0
187,road,80.2573172,13.0387877,9.0,0.0
188,road,80.2573777,13.0388619,9.0,0.0
189,road,80.2044359,13.036008,16.0,0.0
190,road,80.2041356,13.0360515,14.0,0.0
191,road,80.2643051,13.0376204,13.0,0.0
192,road,80.2643872,13.0376663,13.0,0.0
193,road,80.2663052,13.0371226,10.0,0.0
194,road,80.2660479,13.0266395,7.0,0.0
195,road,80.2652359,13.026383,7.0,0.0
196,road,80.2527726,12.9818778,5.0,0.0
197,road,80.2455746,13.0279719,12.0,0.0
205,road,80.2401197,13.0309119,11.0,0.0
206,road,80.2395029,13.0308227,15.0,0.0
207,road,80.2402402,13.0312166,11.0,0.0
208,road,80.2402861,13.030923,11.0,0.0
209,road,80.2456563,13.0296374,12.0,0.0
210,road,80.2059253,13.0075844,12.0,0.0
212,road,80.2527919,12.9813518,5.0,0.0
213,road,80.2526333,12.9804711,5.0,0.0
214,road,80.2522717,12.980078,9.0,0.0
215,road,80.2678436,13.0359791,9.0,0.0
216,road,80.2098967,12.9736228,0.0,0.0
217,road,80.2100797,12.9737895,2.0,0.0
218,road,80.2432792,12.9813011,4.0,0.0
219,road,80.2431927,12.9812978,4.0,0.0
220,road,80.2252635,12.9783717,7.0,0.0
221,road,80.2516363,12.9879526,8.0,0.0
222,road,80.2583616,13.0407049,9.0,0.0
223,road,80.259806,13.0453256,10.0,0.0
224,road,80.2623368,13.044974,13.0,0.0
225,road,80.2468293,13.0392158,12.0,2.0
226,road,80.2423009,13.0461746,12.0,1.0
227,road,80.2340311,13.0416264,15.0,3.0
228,road,80.2383224,13.0440559,14.0,4.0
229,road,80.2383913,13.043947,15.0,4.0
230,road,80.2406434,13.0444751,10.0,5.0
231,road,80.2404199,13.0448785,10.0,5.0
232,road,80.2401185,13.0448963,10.0,5.0
233,road,80.23999,13.0450661,16.0,2.0
234,road,80.240477,13.045115,12.0,2.0
235,road,80.2402258,13.0451951,12.0,2.0
236,road,80.2403799,13.045278,12.0,2.0
237,road,80.2400694,13.045324,12.0,2.0
238,road,80.2401427,13.0453311,12.0,2.0
239,road,80.2395849,13.0463443,12.0,3.0
240,road,80.2394311,13.0462809,12.0,3.0
241,road,80.2497806,13.0498573,16.0,2.0
